"","logFC","logCPM","LR","PValue"
"4930447C04Rik",-0.219728251909785,-0.766936085896937,0.0372579242721134,0.846940862608107
"Areg",0.821930317141034,4.55448304284903,2.26973612788008,0.131922362186782
"Bst1",-0.317166103502444,-0.391328083237152,0.163087116036673,0.686330042790869
"Ccl17",1.65374724748449,-0.416291877429238,3.50734374391303,0.0610973392633859
"Clstn3",-0.868784118064939,-0.404975089205033,1.35194021323549,0.244939212336018
"Csf3",-1.15685519409072,0.288846715387041,1.72998118133095,0.188413300889535
"Fam222a",0.217842928173288,1.67668579305799,0.098856093579645,0.753206708762763
"Fpr2",-0.0844707946396003,0.365611731982568,0.021510132612228,0.88339776330268
"Gad2",-1.15882091578293,1.02545109227961,2.35602692568836,0.124799677434262
"Bcl6b",-0.0399497691452436,0.58335141322938,0.00236023486544212,0.961252216935215
"Cdh5",-0.654575740934729,-0.0677612336130215,0.60901178230532,0.43516013434643
"Fam19a3",-1.00822122895029,-0.326895278240022,1.54099966277492,0.214469068684597
"Gbp5",0.402250415745683,0.234939855244667,0.379473904762438,0.537884928151082
"Gpr34",-0.988487483586303,-0.114821706525634,0.8899583380792,0.345488598137733
"Grhl1",0.972553504127559,0.442822270060172,1.1106337063595,0.291944236329285
"Gzmc",-0.262070406832576,-0.797932479133892,0.0898939480491503,0.76431202201177
"Igsf11",-0.212528688134176,-0.367091102464949,0.0769655868122641,0.781452464371681
"Itih2",-0.88624836323182,1.61854173894208,1.04274120317493,0.307184796500126
"Kcna5",0.703911566537676,-0.309801190781442,0.515522681247939,0.472757853061176
"Nkain2",-0.710216162341375,-0.477367557475063,0.822238944247276,0.364526363417098
"Nod2",-0.374090006126309,-0.539324878215391,0.202576629446841,0.652649054266101
"Rasd1",-0.71052862522757,5.44213416435372,1.20396552339086,0.272530536077133
"Slc13a3",0.419468846762304,-0.285278146397905,0.280150931813294,0.596602307751897
"Sox2",-0.0557467745049932,-0.29819826700051,0.00436827600236178,0.947303835936089
"Strip2",-0.623330900806918,0.342073588828808,0.718897072546826,0.396505927793426
"Tbc1d30",0.91127731277495,-0.27387216822298,0.831862165404768,0.361734616615436
"7530420F21Rik",-0.920441986095936,0.117269000268911,1.54587519745169,0.213745407957548
"Alpl",-2.68566961701721,0.149956305100253,4.78823851227403,0.028654716486295
"Arhgap8",-0.0983365303271826,0.0268472822142753,0.0176777532303909,0.894226824281199
"Bdkrb1",-0.956826101884699,1.81239189493823,1.71334057649896,0.190552520808594
"C330005M16Rik",-1.89118745703614,-0.1910267312471,6.89002956317493,0.00866778348333638
"Ccrl2",-0.803761566635663,2.12545757556815,1.61644547166986,0.203588128961234
"Ceacam1",-0.433124187265421,-0.372719399947884,0.254108830318405,0.614196668570817
"Cntn2",-0.0943844286360275,-0.552732972891504,0.00707101235956964,0.932985422491367
"Cpb1",0.934417976734479,-0.782760746909141,0.998565582166789,0.317657844097946
"Cytip",0.731013008767045,1.60646326629075,0.961147369034475,0.326897968198481
"Fzd9",-0.941735647412899,0.398757667906017,0.998069607253464,0.31777805767185
"Gbx2",0.0352722415527212,0.141902184653065,0.000922764483103578,0.975766356828155
"Gm5150",-0.174702076953484,-0.315566164429396,0.0306656491097712,0.860988406358747
"Lpar3",-1.3077739554175,0.00829202450865582,3.13624054107639,0.0765701135971119
"Npy",1.02957991408166,-0.500898935155616,1.52667941618915,0.216611490066266
"Sall3",-1.11556942856236,-0.430647596173888,1.58604577483443,0.207891993223804
"Syt7",1.42420339632341,-0.218013495731133,3.16894914386606,0.0750507207496505
"Tacr1",-0.602807453376481,-0.0552569236086491,0.810752630214169,0.367897828876266
"Zfp459",-0.426602262482687,-0.493651480198636,0.354168542850134,0.551762851593599
"Apba2",-1.10390244750359,-0.3113444631224,1.81506953395272,0.177901286255617
"Asic3",-1.38711976302811,-0.0244044378991228,3.53496242106228,0.0600876957605173
"Camk2b",-0.587871309939414,-0.56582883486821,0.47955967622493,0.488621832908913
"Cd300lh",0.642077260746596,0.0457239884409005,0.859250419651422,0.353948541332411
"Clec2e",-0.208004122201527,-0.41746616198442,0.0675609737330074,0.794921673988953
"Clec4e",0.641725373020636,3.02951982408122,0.861029801736805,0.353450669297187
"Eva1c",-0.902853880189963,2.26616207116694,1.15515353492946,0.28247292705262
"Fgr",0.334503936274467,0.243323701231877,0.231318856309127,0.630547636133898
"Fibcd1",-0.74124779854407,1.7162706609103,1.11960044335879,0.290004505080966
"Gm10791",-0.385078980481015,0.0186681799925961,0.261506598689508,0.609086985652895
"Lgi1",-1.51261269017515,0.212190789679932,4.73781221042706,0.0295065716827818
"Mctp2",-0.980232172302205,-0.333911839400564,1.6383865317721,0.200546986194906
"Mir145",-0.114765691629702,-0.686315611758995,0.0195594951373899,0.888774347204397
"Phyhipl",-0.912120614412727,0.586413664902755,1.31396320744992,0.251678346840356
"Pilrb2",-0.343361020392115,0.342207815979093,0.253342884147896,0.614731024002293
"Rilp",-1.56477118723173,-0.246709669251504,4.86355687331724,0.0274297305378331
