"","logFC","logCPM","LR","PValue"
"Areg",0.42917297281554,4.16076346592512,0.874344439907489,0.349755385130798
"Csf3",-1.20700132967334,-0.146240297356001,2.3278055421655,0.127080915922384
"Fam222a",-0.0284895790469274,1.19489440005309,0.00131115223031486,0.971115043061263
"Fpr2",0.331049376938418,-0.0559040377156553,0.139025600967058,0.709251624589382
"Gad2",-0.400256668740006,0.567674376660073,0.26130322700417,0.609226230885493
"Bcl6b",0.0686230129629698,0.204177711104188,0.00562922015240375,0.940192331198029
"Gbp5",0.0847213199782015,-0.12277163063053,0.0158289509265224,0.899879825332155
"Gpr34",-0.319896674923728,-0.521256757241915,0.0924707793824879,0.761059260928244
"Grhl1",0.696199678894788,0.0162811387196122,0.838847064824247,0.359726719144982
"Itih2",-1.18342456685039,1.08154704048688,1.90717491559935,0.167277411552299
"Kcna5",0.549557789370569,-0.744135554545222,0.32687748818214,0.567503546783629
"Rasd1",-0.659840306133833,5.03123587772892,1.27201258124461,0.259389460335214
"Slc13a3",0.744221935054122,-0.523372778190684,0.721181519186052,0.395756622735766
"Slc6a12",0.613919297335547,-1.02671310367768,0.477780401822769,0.489429427232079
"Strip2",-0.458787441712791,0.0212585019852731,0.515562767318738,0.472740641409678
"Tbc1d30",0.487147766392332,-0.774492099549199,0.26051966191944,0.609763364736602
"7530420F21Rik",-0.301070246368904,-0.17984008785048,0.192155843425102,0.661128352204703
"Alpl",-2.98190660535845,-0.226713610262426,5.12105226542915,0.0236372792699286
"Arhgap8",0.433274555027614,-0.302809689478808,0.46243065030345,0.496490191151934
"Bdkrb1",-0.90672598113374,1.34706523362796,1.54467888906824,0.213922703334836
"C330005M16Rik",-1.6361435203777,-0.545537898113669,5.56759500633052,0.0182958735145609
"Ccrl2",-0.496192979259258,1.84170234087739,0.973315925060111,0.323854586795272
"Cytip",0.42306012005187,1.20683093710695,0.440878627955412,0.506698683674347
"Fzd9",-0.634762539377965,-0.177404170660573,0.474768272017766,0.490801680446587
"Gbx2",0.225063307729566,-0.345920608160845,0.0519203978483276,0.819754707777371
"Lpar3",-0.370273962422219,-0.469391296838095,0.219232642701179,0.639625229123618
"Syt7",1.48016628388776,-0.704840699710914,3.8114311266578,0.0509039395528216
"Tacr1",-0.238601720583948,-0.239132145738373,0.149331687341915,0.699174841560377
"Asic3",-1.61447687732944,-0.46911029531924,5.5049271174466,0.0189629704703833
"Cd300lh",1.09623489976004,-0.171893726194858,2.51216514611803,0.112970624290052
"Clec4e",-0.201686080362704,2.66690142362719,0.132803006403575,0.71554330680909
"Eva1c",-1.14013039563106,1.79253750654371,2.79737396185172,0.0944188347196466
"Fgr",1.04010015002981,-0.0323590743142735,2.08675080988346,0.148581785895653
