"","logFC","logCPM","LR","PValue"
"Eid3",-1.28816410725645,-0.522988966197241,2.99747390117529,0.0833944509661191
"Gpr132",-0.665966943932879,0.0765899879173453,1.20043876702583,0.27323400054031
"Alpl",-2.62096429357122,0.377188881853317,5.58148404898685,0.0181513351055607
"Ccdc81",-1.33784665375363,-0.450160171199284,3.54677577956673,0.0596612736679799
"Dnajb13",1.08867263587162,-0.802818262914798,1.18414162216677,0.276514453632717
"Efhd1",-0.424365135442313,-0.65719527967408,0.264190992901588,0.607255396051984
"Fpr2",0.205425070231138,0.540431342667383,0.0644917619223602,0.799532422610502
"Hsbp1l1",-0.9706325264659,0.11256899941473,2.85403634383349,0.0911448424008501
"Npy",-0.537915141359097,-0.403949612038637,0.445540589644521,0.504460300243822
"Sprr1a",-1.63898450887385,-0.228670034679195,6.62240753733099,0.0100703614519604
"Tacr1",0.0110215435832265,0.408166222320353,0.000256064629160946,0.987232780546839
"Tbc1d30",0.732198431516403,0.071074127705875,1.00337019654218,0.316496390831681
"Tmem171",-0.44052339338017,-0.0949944366420969,0.408836505725571,0.522560640551072
"Traf1",0.126314861846495,-0.00377847476366087,0.0263626771943422,0.871017742443522
"AA467197",-0.201424212293712,-0.652117446913474,0.0743638950819658,0.785085800902392
"Add2",-1.23724456886872,-0.325508594924504,2.88889095475827,0.0891923041166
"Apol8",-1.03535392927618,0.0315175859780293,2.40392429097064,0.121031295633615
"Csf3",-0.780899865020776,0.450891693485109,1.17225284873451,0.278938823874515
"Edn2",-0.557300148114884,0.902280038042199,0.741636038285005,0.389137300245013
"Fam163b",0.846489406055915,-0.353750189604421,1.31557533853964,0.251387685564051
"Fmo3",0.107347472323507,-0.618174204857954,0.021057743424425,0.884621761451003
"Frem2",-0.640957846497785,-0.463517406643134,0.877435286485983,0.348905097213368
"Fzd9",-1.15629409895128,0.461188489429505,3.39774100745577,0.0652857706597936
"Kcnh1",0.703075961472896,-0.222105536038154,0.928182230279587,0.335335717280123
"Lgi1",-1.23196760000095,0.403296995807629,4.22717337464489,0.039781640113256
"Mal2",-0.550118590732456,-0.487649051714601,0.496531641703175,0.481028065897334
"Marco",1.72579942512968,1.55851248525351,4.45794871620552,0.0347391906405121
"Nod2",-0.0560837452837633,-0.214100756630218,0.00893910635899964,0.924674770216717
"Rasd1",-1.91319777349611,5.56624297097873,9.70014754347097,0.00184253217321502
"Rxrg",-1.12917232392711,-0.305752608477044,1.78139667607578,0.18197791615174
"Serpinb2",-0.189056564617466,2.74175964991385,0.124417257156169,0.72429213724314
"Tmem179",1.00411804984319,-0.660536243056461,1.559669115967,0.211713674626642
"Tnfsf13b",0.435354484270182,-0.0272819408082435,0.298676630373357,0.584713246447956
"A530046M15Rik",-1.51150565396976,-0.618093995623015,3.67794949140564,0.055136618808266
"Ccl5",1.84889365756181,0.322329815096681,6.18080951239173,0.0129143179590334
"Cd300e",0.0314855517827772,-0.38829604714308,0.00194276428304452,0.96484318586348
"Cntn2",-0.229617659378645,-0.214980461927057,0.119009826299314,0.730110903745198
"Dlx3",0.507369108170534,0.834719986480377,0.307067272859234,0.57948542453778
"Dmp1",-0.79762150596323,-0.0108572143939107,1.24607765454101,0.264302948406184
"Drd1a",-0.0980957208000176,-0.416197250900881,0.01489168908331,0.90287406451815
"Epn3",-0.191862824062104,-0.264206030667667,0.0541080684410993,0.816063165798729
"Msln",-0.602444078743634,0.471246125177327,0.855296590651847,0.355058263331234
"Tgfa",-0.108330313649133,-0.603307769084139,0.0140588127305019,0.905616141657153
"Areg",0.00620263665601016,4.56031781079345,3.15860155275516e-05,0.995515797695999
"Astn1",-0.413898895233447,-0.134996084403002,0.431130509015356,0.511434745494755
"Fam107a",-0.509011377938005,-0.44368615156906,0.444874263597661,0.504779189680292
"Fam222a",-0.405977070319208,1.54611788844251,0.542043797125559,0.461586942776742
"Fibcd1",-1.34138419731354,2.14637831250948,7.94683697665893,0.00481714957172984
"Glp2r",-0.176944226576002,-0.656502244300527,0.0609358634455139,0.805022838115987
"Gzmd",-0.6172530458592,0.522317316373592,0.821554051213647,0.364726189285777
"Ifitm10",-1.18459312376229,0.258680149783035,5.86448411763145,0.0154493858970646
"Lce1h",0.323465995235541,-0.370296548234507,0.215344328468785,0.6426104365487
"Plcb2",0.448068241360231,-0.109705783884432,0.471086641129418,0.492487687151418
"Rassf10",0.653630775917942,0.812306179869118,0.788454709074363,0.374567796889131
"Rims2",-1.64527766641862,-0.296641015311218,7.5076208080588,0.00614384745764613
"Sstr2",-1.50570099724154,1.98217144502099,7.93101724038255,0.00485944697943326
"Strip2",0.823219318670793,0.502724905499398,1.85794135875898,0.172862585105376
"Tnfrsf9",0.352738471968327,-0.063789582058569,0.162014296651327,0.687308733511855
"2410021H03Rik",-0.196190622892295,0.0869784317397878,0.110320812330673,0.73977919077784
"3830417A13Rik",-1.8917255950402,1.43081164759048,14.8840927053975,0.000114322968779797
"Acsbg1",-0.185734342529527,-0.017661589632322,0.112338206596043,0.737497663791496
"B3galt5",0.547244101294994,0.456125554337885,0.642701234513241,0.42273433042264
"Cdh5",-0.268802091079651,0.278497295152628,0.186212359079452,0.666087914058899
"Galnt14",-0.477040819674996,0.176245839563438,0.50823881996174,0.475902252907999
"Gbx2",-0.378432617755356,-0.103738831852942,0.399912619224047,0.527134387379379
"Gm5082",-0.599964638085875,-0.114758948871655,0.728387571315462,0.393406339170656
"Gpr141",0.564027688683767,-0.15254673122536,0.726315980540157,0.394079935224174
"Il13ra2",-0.343862061215057,-0.386428531573048,0.208149093533097,0.648222009497853
"Lrrc3b",0.825635170311523,-0.387673959551888,1.21781492983806,0.269789899533493
"Lyve1",1.08838328382862,0.156344252967644,2.5096582363429,0.113150468130787
"Onecut2",-0.303028879993972,-0.127111248010685,0.227138069841947,0.633654074465591
"Ptpn22",-0.0328958333988828,-0.241816025909346,0.00353765152908725,0.952571260389345
"Serpina3m",-0.00155952074162379,0.488287516859457,0.0058669017584343,0.938945177212032
"Siglece",0.0478600074267942,1.16460456082213,0.00412899705011149,0.948765374830821
"Syt7",1.84210392585623,0.0458822410587153,4.69252963494555,0.0302940173025559
"Tmem59l",-0.949174466917348,-0.21977720063577,2.487467402682,0.114756253905138
"Wnt10a",-0.119155088039193,0.423123609543769,0.0505745203058883,0.8220665643577
"7530420F21Rik",-0.508655046303783,0.402734392612252,0.760879811848376,0.383053327973354
"Apoc2",0.39692925499638,-0.607749540130834,0.268422097694456,0.604392211706297
