"","logFC","logCPM","LR","PValue"
"Gpr132",-0.716126930224404,-0.642919478176365,1.29388023230162,0.255334102793085
"Alpl",-2.62200510861203,-0.319583085789948,5.31607205846765,0.0211295890490143
"Fpr2",0.314401793842551,-0.0913829364412442,0.17191768878282,0.67841309047765
"Hsbp1l1",-0.867913784944805,-0.581885680482499,2.19801407854488,0.138188668133548
"Tacr1",0.136689325901603,-0.299417474506074,0.0418452494890964,0.837915039161901
"Tbc1d30",0.837694129747288,-0.637983787859045,1.24949168301707,0.263649585276197
"Traf1",0.259547126817388,-0.703233800891326,0.133358428637518,0.714975006479447
"Apol8",-1.0445162123067,-0.657463672730512,2.35165399016027,0.125150158753096
"Csf3",-0.865757643843027,-0.159015868661286,1.41680907050982,0.233929329225575
"Edn2",-0.526912754830489,0.310483310175524,0.634335986644678,0.425769291899034
"Fzd9",-1.10874577396882,-0.258364199025882,2.9383862979839,0.0864971067057456
"Lgi1",-1.15675991964244,-0.293059726474878,3.5930121956694,0.0580229816859178
"Marco",1.90350270233642,1.09561792692863,4.85538071817034,0.027560030717521
"Rasd1",-1.99163769713358,5.14026556289211,11.1329277672744,0.000848086225350938
"Serpinb2",-0.269284334075742,2.20236342372243,0.232702826300882,0.629526925469936
"Ccl5",2.04234336032144,-0.237383148896157,7.79452254290455,0.00524048567624179
"Dlx3",0.381218470837555,0.16642762968693,0.182749141152931,0.669021239834107
"Dmp1",-0.742274014402471,-0.708503320412787,1.08935156327408,0.296614926132375
"Epn3",-0.222087744639963,-0.981837032914948,0.0718967908117225,0.788594813616595
"Msln",-0.529483887333252,-0.195218810774489,0.693610664174207,0.404938968540427
"Areg",-0.144102190761885,4.22356672417619,0.122320628517024,0.726531083632237
"Fam222a",-0.407001054282825,0.891258889802312,0.504710284809172,0.477437743236724
"Fibcd1",-1.44947652984176,1.47291719948835,9.02286800677533,0.00266622722031647
"Gzmd",-0.487714926786386,-0.0886361899260087,0.462134645946509,0.496628029791879
"Ifitm10",-1.24766815414651,-0.396248302711037,6.15685126165793,0.0130904031779692
"Rassf10",0.643488997021212,0.127978474031197,0.740576839735668,0.389476158428058
"Sstr2",-1.45708422737588,1.38248683575756,7.12173439284449,0.0076154998362287
"Strip2",0.793260488294867,-0.203450110315951,1.66228168249721,0.197295537069241
"Tnfrsf9",0.566457971471869,-0.765753841702497,0.437573821756398,0.508295798756708
"2410021H03Rik",-0.000330331446689182,-0.617942426629978,1.88813810755306e-05,0.996532986174013
"3830417A13Rik",-1.83937176398354,0.759757842992261,13.6005994299336,0.000226113314316627
"B3galt5",0.499699728224393,-0.268135170647621,0.505711146358907,0.477001385423085
"Cdh5",-0.295817536633174,-0.421428629867802,0.227318311654123,0.633519428749295
"Galnt14",-0.484794583992798,-0.529919447118124,0.50811508983555,0.475955959651016
"Gm5082",-0.622116029813748,-0.794032311471073,0.751582275701104,0.385975734860627
"Lyve1",1.14542347405422,-0.555368563308782,2.73333182268149,0.0982740720414694
"Serpina3m",0.411141504957239,-0.0551640970060586,0.374432150871717,0.540598222641588
"Siglece",0.217356535494891,0.475520603989085,0.0991610431805992,0.752838747208195
"Syt7",2.00449425234891,-0.643619280174681,5.45886390496968,0.0194693014327597
"Wnt10a",-0.161509712621115,-0.240099579962118,0.0809560650615104,0.776005937948143
"7530420F21Rik",-0.452975031718191,-0.303664236862534,0.58272643875682,0.445245623952815
"Bdkrb1",-0.37930581685289,1.48465648199488,0.55936733504668,0.454515265236403
"Cytip",0.747818275061203,1.1484957602749,2.05155066549348,0.152051254989219
"Fabp7",1.82154197452562,-0.551584615962555,7.23188003749769,0.00716201659379297
"Fpr1",-0.0823428228458168,1.60524829300459,0.035647669277127,0.850244944572282
"Gpr39",-0.471660584649584,0.166881145410008,0.64047843645432,0.423537601499153
"Nefm",0.257277308792855,-0.499135179237152,0.148598732902665,0.699878071897608
"Slc13a3",-0.190640241070614,-0.382656651755347,0.0627128675349518,0.802258409637684
"9430076C15Rik",-0.938720928601424,-0.202675495641066,2.73219989043923,0.0983437373767275
"Ceacam1",0.230984010077661,-0.564237943790814,0.0963798183098117,0.756218022403979
"Cpne4",0.110486075607737,-0.874534088761674,0.0167773629291332,0.896940297922719
"Ebi3",0.166791523424333,-0.0518122297071267,0.0750894546250311,0.784065754449594
"Gad2",-0.398737231578501,0.402451909417994,0.460988322440545,0.49716244129262
"H2-M9",-0.65420789359417,-0.367199052803409,1.0595002029746,0.30332920473223
"Klf14",-0.014768873080799,-0.592479926057081,2.00988864831331e-05,0.996422953339129
"Mcpt8",-0.430359677016702,0.565185288255887,0.515591048396082,0.472728499047475
"Phyhipl",-0.35011421106748,0.221408206630904,0.256100828386463,0.612811682789138
"Shisa2",0.264547883384391,-0.231590000707077,0.216084597937145,0.6420395909512
"Slco4a1",-0.0973860245259036,-0.685479315497908,0.0254131836326064,0.873341819425476
"Tuba8",-0.00153727854905966,-0.0196581899921041,0.000508748051419428,0.9820048853595
"Upk1b",-0.194035332352457,0.00656996907553542,0.0664056058596749,0.796643963290707
"Upk3b",0.326824317598424,0.149240011898261,0.154673277274359,0.694108821091205
"Vgf",-0.981581909915386,3.4070283571954,5.74653874190142,0.0165211770423086
"1700071M16Rik",-0.307876702186446,-0.0866746424374321,0.367682047084418,0.544270470000916
"Angptl7",-1.03430660394397,-0.66999631119669,1.55006779334449,0.213125433020365
"Barx1",-0.933855534434734,-0.34295507351865,1.6591999504921,0.197711379556659
"Cdh1",0.153656430599698,-0.466483651233656,0.0426933275890047,0.836303798524962
"Eva1c",-1.25225982477354,1.79049012434567,5.37034029842531,0.0204819812554892
"Ftcd",-0.695669555117446,-0.582282923076071,1.46952362495521,0.225420869988381
"Lzts1",-1.52413358774518,-0.124701649500039,8.7552680993833,0.00308708987127976
"Rtn4rl2",-0.751779628220936,0.351632458253449,1.62594683789418,0.202264575623164
"Ryr2",-0.0693521865450517,-0.373800749832112,0.0195801684753043,0.888715965387966
"Syt4",0.05929603531583,0.0328660117574961,0.0128938967829981,0.909593497831797
"Tnfsf18",-1.30209160524679,-0.376420712568407,5.37214612329573,0.0204607880004239
"Baiap2l2",-0.0944834949544572,-0.228747261752905,0.0284498976958565,0.866055450485893
"Ccrl2",-0.0843845496316591,1.72630716231981,0.0237516943356741,0.877518393359236
"Ntm",-0.693105786480906,-0.586043612041069,1.15685982071017,0.282117739227498
"Tslp",-1.30308966390006,1.21341952123409,9.89491942100059,0.00165735707972092
"Bcl6b",0.0327035127450028,0.339540381522873,0.0022091945250704,0.962511578234448
"Ccno",-0.358651687311866,0.721600947748952,0.502334456257821,0.478476174401537
"Clec4e",-0.172493241238908,2.6316768789447,0.115439886299669,0.734033916349101
"Emcn",0.458721256672166,-0.404899001593783,0.72019952925385,0.396078467744126
"Il21r",-0.62617307611555,-0.411050321807892,0.834231891871344,0.361051680849953
"Kcng1",-0.600060414061182,1.11922344197969,2.20794657330932,0.137301321861567
"Nebl",-0.462839906667612,-0.236118565060137,0.787125929122515,0.374970598673415
"Pyhin1",0.55757706138609,-0.395637124091489,0.561431071477042,0.453684216156165
"Tnip3",0.749921434526237,-0.416554545820643,2.17853531132841,0.139947592488536
"9130206I24Rik",-0.875620012726392,-0.199538975399888,2.77097388155882,0.0959877449167133
"Arhgap8",0.756711047249443,-0.64225174805709,1.58944718522324,0.207405133404645
"Chst5",0.606055394422566,-0.822105576992081,0.766372351721168,0.381341639182139
"Dscam",-0.20097882594955,-0.19926809137988,0.192502966728715,0.660841533650131
"E230016K23Rik",-0.000494140018320199,-0.539576409192105,4.81129291074467e-07,0.999446559514816
"Pilrb1",0.564343200153165,0.00465723765940066,1.15860873409578,0.281754263690988
"Plekhh1",-0.413133077589705,-0.221744800848675,0.781625853248509,0.376644356884787
"Slc1a1",-0.73286731291876,0.434634239699976,2.16471706023178,0.141210612365288
"Ankrd33b",0.141257769972481,1.83083418415451,0.124401174878454,0.724309230161913
"Ano1",0.0805376877335995,0.368415768373846,0.00861925432321264,0.926030721067287
"C920009B18Rik",0.305434276300017,-0.327539648316378,0.27103050531637,0.602641336939679
"Fam167a",0.232125813822856,2.24126415970684,0.246680663751873,0.619422083149389
"Fam78a",0.442332864388056,-0.193166770483706,0.495670441326034,0.481408695264714
"Fgr",0.452558390969427,0.0466527278196648,0.88802121437666,0.34601410389725
"Grik3",-0.133633105311734,1.01599313532908,0.086843529102099,0.768228975083869
"Kcnd3",-0.412688111073337,-0.670810831325426,0.549273442405254,0.458614717201171
"Nppc",0.790519672744527,1.8906853684767,2.33744629906865,0.126296445851213
"Plekha6",-0.171044765385018,0.194104657843768,0.11318640301759,0.736545220043907
"Slc35d3",-1.24328206576074,0.464112223967181,5.58597353970543,0.0181048671231276
"Tspan33",0.445272992208544,-0.167141056512394,0.724602286530273,0.394638412548709
"3830403N18Rik",-0.0947149213882214,-0.311691045217333,0.031885665104225,0.858278825985659
"Adora2a",-0.400276625750596,1.56778363255274,1.01071986450004,0.3147304435189
"Ccl20",0.29359435087992,0.926610866230203,0.449834928519394,0.502413354593495
"Gjb4",0.207631876594227,-0.267450611213684,0.138805705800879,0.709471200676694
"Liph",-0.179363149710498,0.386718275071894,0.181037381245157,0.670483243132605
"Pilrb2",0.520829135253993,0.2389842052833,0.999327267434225,0.317473344221924
"Rtn1",-0.462307464551617,-0.167271096888117,0.560552467274956,0.454037730737218
"Samsn1",0.454157044844661,0.748543043376283,1.06832606450335,0.301323854478202
"Stap1",0.863156842566244,0.674534309546603,3.02692580763622,0.0818930436555614
"Aatk",0.0764259796474965,-0.362009565612333,0.0187185104131178,0.891176546777008
"Ankk1",-0.194433844292774,0.336184075281047,0.171991519877323,0.678347912181566
"Asic3",-0.161360543565621,-0.444565579321645,0.0912675551396642,0.762571864391869
"B3gnt7",-0.536829417778668,-0.459965755445306,0.662369104343973,0.415724804246513
"Clstn3",0.233952522427749,-0.664437732279245,0.13066651277205,0.717741974229998
"Epha5",0.184025597518583,-0.240799681127882,0.131822567815723,0.716549772584314
"Erp27",-0.453964037775455,-0.402288753801877,0.456139480973746,0.499433740349481
"Eya2",0.393527807751766,-0.420058605829959,0.246943989059536,0.619235176545718
"F630028O10Rik",0.454416280437881,-0.129408877119677,0.603545441955676,0.437228467850862
"Frmd5",-0.489249734261045,-0.30059700045344,0.368966931690252,0.543567918023474
"Has1",-1.22839743163242,4.4663735476468,12.2863926440625,0.000456272799308887
"Klrg2",-0.481820966046128,0.0334860467859798,0.884020399316446,0.347102883862453
"Kng2",-0.188851607201055,-0.697554935795849,0.0433423122471321,0.835082048726435
"Lax1",-0.256288161290298,0.345307687761955,0.28372785959021,0.594268190622167
"Ptger2",-0.290171625215337,-0.0800090931455919,0.374855307547665,0.54036953157543
"Rgs1",0.554082868849932,1.12567262175153,1.17517602231526,0.278340254096872
"Ablim3",0.175267774013907,-0.268477604203058,0.114432172632614,0.735153514585249
"Arhgap9",-0.0504181738864983,-0.129456976220586,0.0064589905793575,0.93594469978553
"Bai2",-0.694757947380334,-0.111674978973321,2.14697730928227,0.142850884824615
"Ccdc85c",-0.47897909571447,-0.137776009127967,0.953858474285423,0.328739096704566
"Chmp4c",1.14044758552371,-0.497801644554669,3.320400184101,0.0684251713262803
"Dnahc8",1.05959569501519,-0.98301929960126,2.26847571570767,0.132029703078128
"Dnd1",-0.617625110530856,-0.0667124726255084,1.6464177352837,0.199447198575313
"Gpr84",0.314264666901036,1.69712051846336,0.417268458897723,0.518303186577936
"Il7r",0.134844665085994,0.0462699666917702,0.0561012637931295,0.812767688329822
"Kcnk3",-0.662686635996087,-0.203710825516413,1.73578975755631,0.187673177700546
"Lcn2",1.66360004646959,-0.379606961055067,9.05991779577689,0.00261273724194917
"Lrp2bp",-0.428036230470615,-0.424307657590525,0.689398241188837,0.406369136622125
"Pak7",-0.473969316326106,0.611740788004437,1.40773047430425,0.235433513040209
"Prss46",-0.894341082476695,0.731241328690766,5.36284615557202,0.0205701758883637
"Rbm24",0.41821145525559,0.408764868841577,0.938283309821967,0.33271972181834
"Rorb",-0.44410850500021,1.51075987781517,1.22030325349302,0.269301146610979
"Scrt1",0.0529347964903888,1.30825471310307,0.0148021575620731,0.903165031913714
"Sema3g",0.563496718806587,-0.461929476333581,1.02377038096614,0.311626330651816
"Xlr",-0.398211601298725,-0.306969616713426,0.677240275513962,0.410538648152939
"1700010I14Rik",0.549636946154225,-0.58279392773559,1.02527699719628,0.311270552501915
"Dbpht2",-0.442401979619416,0.10502984516754,0.872196529887575,0.350347933262573
"E030011O05Rik",-0.165912627668998,0.19685309927333,0.162448858266402,0.686911847582812
"Elovl7",-0.613911032533398,-0.195320115180992,1.66670331409802,0.196700680808147
"Gab3",0.289443234920147,-0.533127622542252,0.268082251135207,0.604621125058004
"Kcnk12",-0.674350912804429,0.604573764607781,1.93987619304047,0.163681977499137
"Kirrel3",-0.45140814207084,0.0308855208581232,0.957219990905002,0.327888294345995
"Nup62cl",0.348721174822535,0.29836031837902,0.668676161894972,0.413513538283891
"Rab3b",-0.118203419448215,-0.0607124862940527,0.0541908421703727,0.815925048788113
"Rapgef5",0.470729128507476,0.0369870871145384,0.872986361473449,0.350129882161907
"Tnni3k",-0.245186061066861,-0.0906767674784258,0.288362933760428,0.591271515626791
"Aim2",-0.0280843705719314,-0.124812744658333,0.00331087001619501,0.954114916007281
"C5ar2",0.20602171109682,-0.786690001746868,0.090806944134286,0.763153788961082
"Chst8",0.0985787669773339,1.01302633453576,0.0464928855308511,0.829282335786815
"Fam169a",-0.0416626108434978,-0.103059677295217,0.0100557560119778,0.920123311263122
"Fam46c",-0.643443415130685,1.27556950772951,2.84396274385491,0.0917177665621437
"Lamc3",0.153773287973511,0.132401777350461,0.0843444772159749,0.771494022003551
"Lhx6",-0.389558877762142,0.0850289270994033,0.732404458554494,0.392104918463079
"Lrrc4",-0.606170638310284,-0.0904496693815216,1.40999977950581,0.235056429842625
"Oasl1",1.26780087989793,-0.458349302314086,3.13986736157973,0.0764000206589514
"Pkib",0.271541203132644,-0.492719217658115,0.171316529560592,0.678944406966625
"Prg4",-0.859181347448219,2.13286867239661,5.23056603565339,0.0221933088758791
"Prss16",1.73376229246953,-0.0293679148589216,12.6819793152999,0.000369196543295533
"Sdk2",-0.917199798546263,0.794986049370458,4.00940921710533,0.0452470028304624
"Snora31",0.596969274475224,-0.347565503062367,1.02739740066016,0.310770728206155
"Tas1r3",-0.250072334703687,-0.31141513477349,0.242469910920783,0.622427878713084
"Cd200r1",-0.401403913876608,-0.354880698478445,0.586095930292577,0.443932781602049
"Cd244",-0.155175348149844,-0.466228021679298,0.0764703917924807,0.782138867452221
"Cdh17",0.0325680727848035,0.329571081537322,0.00449149966555762,0.9465668547328
"Col19a1",-0.370671861424749,0.100464092203481,0.572606821853198,0.449224890351238
"Colec10",-1.16692950637145,0.938533360736927,4.71179102480629,0.0299564266222877
"Gm16793",-0.206607481668354,-0.162058928196715,0.200223091126197,0.65454083352914
"Gm6377",0.598619738747492,0.280334428126419,1.32616770980367,0.249488132136321
"Itga2",0.796719425674243,0.933611431005555,3.56820166879475,0.0588960612125757
