"","fdr.high_dups_cor","fdr.high_dups_cor.1","fdr.high_dups_cor.2","fdr.high_dups_cor.3","logCPM.high_dups_cor","logCPM.high_dups_cor.1","logCPM.high_dups_cor.2","logCPM.high_dups_cor.3","logFC.high_dups_cor","logFC.high_dups_cor.1","logFC.high_dups_cor.2","logFC.high_dups_cor.3","LR.high_dups_cor","LR.high_dups_cor.1","LR.high_dups_cor.2","LR.high_dups_cor.3","PValue.high_dups_cor","PValue.high_dups_cor.1","PValue.high_dups_cor.2","PValue.high_dups_cor.3"
"Acer2",0.00649917257512369,0.0133639997234064,0.295685901515413,0.103193483098122,4.21033551687428,3.66685155181002,4.21160437555133,3.72904989337351,-1.8367610177842,-1.32340843103813,-0.782785472637975,-0.840254764241264,21.3230381291901,17.0410545802923,8.35769709753239,10.2393346209259,3.88039961281478e-06,3.65802912137036e-05,0.00384056987375504,0.0013747716921072
"Ereg",0.000763595273621684,0.0178955659536602,0.13086842609264,0.0384433815833044,6.29568853208332,5.7998356886441,6.24401700381273,5.72107098243414,-1.52230013609102,-0.907582334540427,-0.726760889701605,-0.724326650275642,26.3494342681763,16.1184682683753,11.1865892324713,13.5116633180217,2.84902348191062e-07,5.95009606236235e-05,0.00082390657026898,0.000237085305237831
"Adora2b",8.30605179259106e-05,0.00304932951423629,0.0012572745368944,0.000319372310463061,4.91906093795603,4.45121099816971,4.99254420040696,4.46342126220337,-1.2906791337261,-1.06910966926093,-1.25973308494246,-1.25177014157239,31.6360814003434,20.8649803862427,24.4621882278707,26.9677445173528,1.85942507109717e-08,4.92822741132953e-06,7.57825792346351e-07,2.06879141236982e-07
"Sphk1",0.0099120932351062,0.124688089566724,0.143362175208653,0.00114397829396979,6.05935913527951,5.67786644055213,6.27937335507205,5.81826277785733,-1.12291023684878,-0.69252876896378,-0.685405855598163,-0.890022392355288,19.8171121436683,10.0237700241799,10.9181093329034,22.7997409197678,8.5216345901611e-06,0.00154532836065815,0.000952287474965534,1.79789941009087e-06
"Oasl2",0.0099120932351062,0.00116982454560094,0.00745189795302258,0.00114397829396979,2.904910933197,2.4248665259855,3.10487235186725,2.56856901541042,2.22796254667208,2.11166883722281,1.88588756087111,2.13824844253639,19.7392749773267,23.9701448856678,19.5427203433126,22.7608028901529,8.87583902852581e-06,9.78411648540929e-07,9.8374890468945e-06,1.83469865383882e-06
"Slfn5",0.00542049840912266,0.0024652937057507,0.0298400146880719,0.0100019945422015,3.76869521991707,3.30255251266611,3.77244595883868,3.2425578323943,1.88407813310195,1.98719114532645,1.67512292045797,1.83615532888442,21.9275538215476,21.7670966657705,15.3880649978971,17.2019070287591,2.83139234862015e-06,3.07834374239192e-06,8.75394636980475e-05,3.36098793231148e-05
"Fgl2",2.32038908873281e-06,0.000217848746537426,0.0035565207143572,8.48997266197139e-07,5.85221314411794,5.32216467530436,5.81342804767331,5.25837543023624,1.65724428762375,1.13972660156115,1.05307827291327,1.12781245996644,39.7148797743463,30.5150968620005,21.7351390515804,41.3133937502188,2.93877950811574e-10,3.31278507508251e-08,3.13005123375771e-06,1.29677297418228e-10
"E030024N20Rik",0.00649917257512369,0.453158810665734,0.908363536947631,0.74307866887893,4.39491334846007,6.6763181081362,5.37486892905318,6.96111332403919,3.57650867038073,-0.308827582298041,1.25773235712018,-0.190402007067613,21.0975799226417,5.5740108741126,2.78009447286567,3.08445752270269,4.36479017805486e-06,0.01822895868811,0.0954425384770579,0.0790436189014833
"Rpl21",0.000763595273621684,0.995871627246239,0.902498296491426,0.996477110032274,5.26017211659856,7.0483651677923,4.72088573914433,6.61431629187206,2.43011246605001,0.0269795649050848,0.854952630629602,0.0324164382756823,26.4969817721196,0.0585513169093286,2.8771107636228,0.0841578084030541,2.63950188218024e-07,0.808800469383745,0.0898470995238341,0.771740001607872
"Gm13826",2.32038908873281e-06,0.955074691221007,0.821569631859942,0.916488419832126,7.16350300768204,8.03127672827478,7.03558181884816,7.89637334152138,1.65741093226969,0.126066848413917,0.517176912733357,-0.136206548447564,39.3943310126982,0.930816724788123,3.58557984456513,1.34369891346876,3.46300886311888e-10,0.334650789550092,0.0582830733086561,0.246382709285362
"Rps27a",0.00945160676981352,0.910417926544715,0.999877684151563,0.993053819563703,7.27734314407737,8.53471424447358,6.74602798486867,8.63884234936176,1.5807938642179,0.182250550406102,0.069901577826591,-0.0420681736815541,20.1788316071383,1.69567093818773,0.0451594923774792,0.147751420500565,7.05291155123761e-06,0.19285509851337,0.831711026630364,0.700693509492868
"Gm6548",0.00410947640423504,0.999826075823204,0.999877684151563,0.996477110032274,6.58170093685433,9.32088446923688,6.24461206503485,9.55696356704772,2.21471640275825,-0.0148224503884423,-0.327828732435172,0.0355416259414859,22.7553345793276,0.0151354030415405,1.60952887960229,0.0829088542990384,1.83992675363109e-06,0.902086488848755,0.204558039750156,0.773393450677183
"Pcdh20",0.635032770267489,0.00106037287116782,0.00939848144178163,0.00286443604647184,4.28710444788485,3.693054987119,4.17428681708437,3.64247388554409,0.824593486455058,1.26093192532435,1.04454213363487,1.04086535872084,5.92637901187469,24.5789399342358,18.7167569172869,20.5905069595093,0.0149158605001894,7.13270198357489e-07,1.51643998327243e-05,5.68774531909789e-06
"Il11",0.710374656558695,0.00633274272664869,0.0523538605791084,0.080639450421549,4.35527968911854,3.89530641774331,4.15622029466092,3.63798363033837,0.927839455486516,1.42582847938592,1.17458621238933,1.00951026234893,5.20856724854725,18.8902504389848,13.6950423817583,10.9510142942358,0.0224758491441599,1.38458492563383e-05,0.000215021356247163,0.000935523895914791
"Gm12505",0.999935776118052,0.00975529353035248,0.439773529436489,0.000190217974979515,3.02790961895669,3.77767300519926,3.58175661879874,4.16423080689384,-0.499677090632506,-1.02097006597743,-0.6856143309473,-1.04685359809289,0.687628025117029,17.8047422060678,6.85362629028216,28.3415489862956,0.406972350950185,2.44772419785304e-05,0.00884615438401038,1.01689768203498e-07
"Kif26a",0.175112591108711,0.0024652937057507,0.00382559181978156,0.000790279784233683,3.69241192790525,3.08216725924758,3.7152468664552,3.07323799499226,1.38322984133572,1.360498449397,1.42183960078489,1.49923264029531,12.3360993987152,21.7007979402247,21.4417451886272,23.8786690136479,0.000444282374277754,3.18658705883226e-06,3.64742894441953e-06,1.02602385306038e-06
"Egr2",0.378904155117597,0.00106037287116782,0.000446045103012256,1.94747091625505e-05,3.70988146024781,3.26918026250861,3.78474205838917,3.21481713036019,-1.27939754124564,-1.15148689145058,-1.03118361733062,-1.12445722966755,9.19136757949493,24.6931907022257,27.0694097601541,34.4110188690757,0.00243159147377907,6.72212552519461e-07,1.9627947327272e-07,4.46190067875757e-09
"Ifit1",0.146138635622938,0.00402893323075477,0.00443415407834149,0.00102057460707285,3.20424814347757,2.85270209095947,3.39237309479279,2.85416900688966,2.14606159717484,2.09604702268785,2.09012408632809,2.34186291083044,12.8468009518605,20.0213071908783,21.0167510076858,23.2766093735961,0.000338056690120968,7.65840410347242e-06,4.55285347244451e-06,1.40295883055684e-06
"Adcyap1r1",0.169430207795681,0.00106037287116782,0.0149550362865799,0.000319372310463061,5.12000426246855,4.51603343816134,5.08126393127492,4.5764133092876,-1.00905988284875,-1.07890273254473,-0.872494413404443,-1.03384055931538,12.5109249480993,24.8489688877446,17.2343995622151,26.7612720158151,0.00040457925897036,6.20022013831705e-07,3.30399365483259e-05,2.30204964776215e-07
"Gjb2",0.564843177111164,0.00201051180469458,0.445482037909543,0.00327821872281953,6.00722906434514,5.59449545093198,5.86299635598798,5.38075466924371,-0.699279288352439,-0.956801192573263,-0.714064319191744,-0.882725972362128,6.80777751844393,22.3324324952067,6.79367371008579,19.9958180964291,0.00907616609005061,2.29301072615714e-06,0.00914814599300858,7.76117156005846e-06
"Hbegf",0.752634844641163,0.00633274272664869,0.00122739585974471,0.000499608075817117,6.15581525766981,5.77348703078736,6.15548075644687,5.7370345402944,-0.472111197392732,-0.689577396594809,-0.948229777506025,-0.739017795127919,4.88372102462862,18.8427257668797,24.8178081889335,25.1363036483844,0.0271111135608989,1.41951417163107e-05,6.30126220624346e-07,5.34176955967591e-07
"Fhdc1",0.210052392958096,0.00402893323075477,0.547746205152202,0.107109083775168,4.40973303302872,3.88522506606465,4.50560198209388,3.96714047422414,-1.14345406354736,-0.877249905592683,-0.439536436824134,-0.507009278017801,11.760760773656,20.0394749496027,5.6103625746286,10.1231037234105,0.000604924964485495,7.58598982586634e-06,0.0178545682598135,0.00146422223886934
"Isg15",0.210052392958096,0.00304932951423629,0.00350292282773567,0.00781552935813234,3.78301181556971,3.43016035151203,4.03589350653588,3.70283130677448,1.75808633539079,1.76151623253688,1.92797456736921,2.02866978129849,11.7412458418939,20.7990732255667,21.9312300529194,17.9497526167108,0.000611300897348389,5.10076409011545e-06,2.82597367840795e-06,2.2681389614253e-05
"Palm2",0.305637254452751,0.00257048109701982,0.0142553020319588,0.0487337033301966,5.88198122418548,5.39619644158015,5.7467578112254,5.33957811892084,-0.624225658169955,-0.569547364400684,-0.793056552435803,-0.43880027995132,10.0468412286612,21.4073555538617,17.5335444574909,12.6669132939624,0.00152609394206786,3.71343832446598e-06,2.82283208553639e-05,0.000372183468231225
"Myc",0.0184581560298582,9.82005355213719e-09,0.0109869726049007,4.7562948522159e-05,6.10152204290858,5.70595126937116,6.13174105270808,5.68416986116358,-1.11990810287071,-1.11599548691723,-0.874965275374726,-0.935526804421602,18.2588099250207,51.4176074857462,18.253305499919,32.1151887242219,1.92832015833158e-05,7.46658573003132e-13,1.93390056851937e-05,1.45296925376994e-08
"Etv5",0.428939280982668,0.00127699731420961,0.999877684151563,0.137599361932446,5.46593257696963,4.89351198313085,5.57766561553527,4.97016934295899,-0.63578248007168,-0.695126208978775,-0.209620724761337,-0.373366471558621,8.76374849977154,23.6339382476441,1.93253611090452,9.44870478027244,0.00307276852282189,1.16514353486278e-06,0.164481248496757,0.00211298260436338
"Ttyh2",0.56070817441188,0.00116982454560094,0.00540760318541328,5.2586157016881e-07,5.53970517046897,4.99573638786143,5.67339549721537,5.08754960862263,-0.660410214395292,-0.711315396830956,-0.73564535174469,-0.724492851238484,7.03291917878187,24.1146680233853,20.5045527465429,43.6060042105034,0.00800248002259857,9.07662846719054e-07,5.94895839979459e-06,4.01604987145876e-11
"Dot1l",0.0661938702002881,0.000881864159420294,0.0290811007507828,0.101035550265591,6.22813389070059,5.71147030754932,6.39400099310432,5.82966187721791,-0.973539923633215,-0.642052482914376,-0.687308601163484,-0.455164050937828,15.3431988326721,26.7402871605625,15.484598311392,10.3587838797484,8.96430466186618e-05,2.32718540601407e-07,8.31802661738561e-05,0.00128860064872107
"Socs3",0.540664409087421,0.00304241516650312,0.163042769872617,0.000185851662190787,6.47665826951063,6.00020915965387,6.36039749241412,5.9277609052896,-0.792843041976935,-0.95946192394394,-0.856661766815254,-1.04291089993164,7.4074152934372,20.9859894168906,10.3251068847786,28.6849752605484,0.00649555778397693,4.62654374468236e-06,0.00131232660025773,8.51619041656271e-08
"Rftn1",0.930609800786344,0.00633274272664869,0.439773529436489,0.0801065703966659,6.02306590748995,5.52674486563101,6.10927959484911,5.57238474701421,-0.315976901434981,-0.49188754873261,-0.415739306111642,-0.370853309980143,2.31180997735278,18.6863529614829,6.85762446042159,11.0082423540025,0.128394465875814,1.5408133154863e-05,0.00882638160278902,0.000907076196231141
"Sipa1l2",0.999935776118052,0.00399170932661027,0.0544260056246546,0.000319413808572749,7.27389307371649,6.81556780279742,7.41070453526766,6.912890806068,-0.232683794553813,-0.547388016083599,-0.770392162673178,-0.603955579924273,0.860739332471884,20.1985356341022,13.5889285593648,26.4651694738725,0.353531877347641,6.98063522749667e-06,0.000227523455856642,2.6833296886362e-07
"Map2k3",0.999935776118052,0.00633274272664869,0.295685901515413,0.276813800005952,6.51667431061976,6.21906441246288,6.69316346059681,6.26553610025591,-0.214836260363493,-0.578356009676305,-0.524887533842289,-0.380284640156345,0.601129830251235,18.9969962591373,8.41035469968043,7.23072350814241,0.438147269079947,1.30924394037164e-05,0.00373089861736316,0.0071666319078981
