"","V1","V2","V3"
"0610039K10Rik",1,1,1
"1110017D15Rik",1,1,1
"1300017J02Rik",1,1,1
"1600019K03Rik",1,1,1
"1700007K09Rik",1,1,1
"1700010K23Rik",1,1,1
"1700011L22Rik",1,1,1
"1700012B07Rik",1,1,1
"1700013G24Rik",1,1,1
"1700018L02Rik",1,1,1
"1700020A23Rik",1,1,1
"1700022P22Rik",1,1,1
"1700055N04Rik",1,1,1
"1700063D05Rik",1,1,1
"1700071K01Rik",1,1,1
"1700085C21Rik",1,1,1
"1700102H20Rik",1,1,1
"1700119H24Rik",1,1,1
"1700125H20Rik",1,1,1
"1700128A07Rik",1,1,1
"1810064F22Rik",1,1,1
"2010005H15Rik",1,1,1
"2010109I03Rik",1,1,1
"2310008N11Rik",1,1,1
"2310040G24Rik",1,1,1
"2410021H03Rik",1,1,1
"2610316D01Rik",1,1,1
"2700081L22Rik",1,1,1
"2900060B14Rik",1,1,1
"2900092C05Rik",1,1,1
"3110082J24Rik",1,1,1
"4430402I18Rik",1,1,1
"4930428G15Rik",1,1,1
"4930451C15Rik",1,1,1
"4930452G13Rik",1,1,1
"4930453L07Rik",1,1,1
"4930455D15Rik",1,1,1
"4930461G14Rik",1,1,1
"4930469G21Rik",1,1,1
"4930505A04Rik",1,1,1
"4930509E16Rik",1,1,1
"4930512B01Rik",1,1,1
"4930513O06Rik",1,1,1
"4930519F16Rik",1,1,1
"4930519G04Rik",1,1,1
"4930526L06Rik",1,1,1
"4930552P12Rik",1,1,1
"4930593C16Rik",1,1,1
"4931406H21Rik",1,1,1
"4931440L10Rik",1,1,1
"4933400F21Rik",1,1,1
"4933402D24Rik",1,1,1
"4933405D12Rik",1,1,1
"4933405L10Rik",1,1,1
"4933406G16Rik",1,1,1
"4933406I18Rik",1,1,1
"5430416O09Rik",1,1,1
"5430437J10Rik",1,1,1
"5830403L16Rik",1,1,1
"8430403D17Rik",1,1,1
"9230102O04Rik",1,1,1
"9230105E05Rik",1,1,1
"9430041J12Rik",1,1,1
"A230020J21Rik",1,1,1
"A230072E10Rik",1,1,1
"A330041J22Rik",1,1,1
"A430092G05Rik",1,1,1
"A430093F15Rik",1,1,1
"A4gnt",1,1,1
"A630076J17Rik",1,1,1
"A930011G23Rik",1,1,1
"A930041C12Rik",1,1,1
"Aadat",1,1,1
"Aard",1,1,1
"Abca12",1,1,1
"Actl7a",1,1,1
"Actrt3",1,1,1
"Acvr1c",1,1,1
"Adad1",1,1,1
"Adamts19",1,1,1
"Adcyap1",1,1,1
"Add2",1,1,1
"AI182371",1,1,1
"AI314831",1,1,1
"Aicda",1,1,1
"Ak7",1,1,1
"Alox12",1,1,1
"Amdhd1",1,1,1
"Amy2b",1,1,1
"Ankrd53",1,1,1
"Ankrd55",1,1,1
"Aox3l1",1,1,1
"Ap3b2",1,1,1
"Apoa1",1,1,1
"Apol7b",1,1,1
"Art2a-ps",1,1,1
"Atp10b",1,1,1
"Atp1a4",1,1,1
"Atp2b3",1,1,1
"Atp4b",1,1,1
"Atp6ap1l",1,1,1
"Atp6v1c2",1,1,1
"Atp8b5",1,1,1
"AU018091",1,1,1
"AU021092",1,1,1
"AU040972",1,1,1
"AV039307",1,1,1
"AV051173",1,1,1
"AW046200",1,1,1
"AW112010",1,1,1
"AW495222",1,1,1
"B020004J07Rik",1,1,1
"B230319C09Rik",1,1,1
"B230378P21Rik",1,1,1
"B830017H08Rik",1,1,1
"Baiap3",1,1,1
"Batf2",1,1,1
"BB123696",1,1,1
"BB557941",1,1,1
"BC006965",1,1,1
"BC021767",1,1,1
"BC051019",1,1,1
"BC051628",1,1,1
"BC061194",1,1,1
"BC089491",1,1,1
"Bex4",1,1,1
"Bglap2",1,1,1
"Birc7",1,1,1
"Bmp15",1,1,1
"Bspry",1,1,1
"Btbd16",1,1,1
"Btnl4",1,1,1
"Btnl6",1,1,1
"C86187",1,1,1
"Cacna1e",1,1,1
"Calcoco2",1,1,1
"Car5a",1,1,1
"Ccdc113",1,1,1
"Ccdc13",1,1,1
"Ccdc150",1,1,1
"Ccdc154",1,1,1
"Ccdc170",1,1,1
"Ccdc64b",1,1,1
"Ccdc83",1,1,1
"Cckar",1,1,1
"Ccnb3",1,1,1
"Ccr4",1,1,1
"Cd3d",1,1,1
"Cd5",1,1,1
"Cdh20",1,1,1
"Cdx1",1,1,1
"Cer1",1,1,1
"Ces2e",1,1,1
"Ces2g",1,1,1
"Cfi",1,1,1
"Cftr",1,1,1
"Chat",1,1,1
"Chgb",1,1,1
"Chit1",1,1,1
"Chrm2",1,1,1
"Chrne",1,1,1
"Cideb",1,1,1
"Ciita",1,1,1
"Clcnkb",1,1,1
"Cldn26",1,1,1
"Cldnd2",1,1,1
"Clec10a",1,1,1
"Clec9a",1,1,1
"Clgn",1,1,1
"Clrn3",1,1,1
"Cml3",1,1,1
"Cmtm5",1,1,1
"Cnnm1",1,1,1
"Cntf",1,1,1
"Cntn2",1,1,1
"Cntn3",1,1,1
"Cntnap2",1,1,1
"Col22a1",1,1,1
"Cpa2",1,1,1
"Cplx4",1,1,1
"Cpne5",1,1,1
"Cpt1b",1,1,1
"Crybb3",1,1,1
"Csn3",1,1,1
"Csnka2ip",1,1,1
"Cst7",1,1,1
"Ctf2",1,1,1
"Cxcl17",1,1,1
"Cyp24a1",1,1,1
"Cyp2d11",1,1,1
"Cyp4a10",1,1,1
"Cyp4a31",1,1,1
"Cyp4a32",1,1,1
"Cyp4f14",1,1,1
"D030047H15Rik",1,1,1
"D1Pas1",1,1,1
"D430041D05Rik",1,1,1
"D630033O11Rik",1,1,1
"D730045A05Rik",1,1,1
"D830030K20Rik",1,1,1
"D830046C22Rik",1,1,1
"Dab1",1,1,1
"Dbx2",1,1,1
"Dlx4",1,1,1
"Dlx6as1",1,1,1
"Dmrta1",1,1,1
"Dnajb7",1,1,1
"Dnajb8",1,1,1
"Dusp2",1,1,1
"Dydc1",1,1,1
"E130003G02Rik",1,1,1
"E130018N17Rik",1,1,1
"E130309F12Rik",1,1,1
"E230008N13Rik",1,1,1
"E230029C05Rik",1,1,1
"Efcab9",1,1,1
"Eif3j2",1,1,1
"Emx1",1,1,1
"En2",1,1,1
"Enpp6",1,1,1
"Enthd1",1,1,1
"Epgn",1,1,1
"Ephb1",1,1,1
"Ephx4",1,1,1
"Epx",1,1,1
"Eras",1,1,1
"Espnl",1,1,1
"Esr2",1,1,1
"Evx2",1,1,1
"F10",1,1,1
"F9",1,1,1
"Fam107a",1,1,1
"Fam159b",1,1,1
"Fam187a",1,1,1
"Fam227b",1,1,1
"Fam228a",1,1,1
"Fcamr",1,1,1
"Fcrl1",1,1,1
"Fcrl5",1,1,1
"Fcrlb",1,1,1
"Fer1l4",1,1,1
"Fermt1",1,1,1
"Ffar4",1,1,1
"Fgf23",1,1,1
"Fhad1",1,1,1
"Fkbp6",1,1,1
"Fndc8",1,1,1
"Foxa2",1,1,1
"Foxd4",1,1,1
"Foxh1",1,1,1
"Frem3",1,1,1
"Frrs1l",1,1,1
"Fstl4",1,1,1
"Fzd9",1,1,1
"Gal",1,1,1
"Gast",1,1,1
"Gata4",1,1,1
"Gcnt7",1,1,1
"Ggt1",1,1,1
"Gif",1,1,1
"Gja6",1,1,1
"Gja8",1,1,1
"Gk2",1,1,1
"Gkn1",1,1,1
"Gm10406",1,1,1
"Gm10451",1,1,1
"Gm10532",1,1,1
"Gm10549",1,1,1
"Gm10677",1,1,1
"Gm11545",1,1,1
"Gm11648",1,1,1
"Gm11747",1,1,1
"Gm12695",1,1,1
"Gm13083",1,1,1
"Gm13271",1,1,1
"Gm13272",1,1,1
"Gm13283",1,1,1
"Gm13497",1,1,1
"Gm13749",1,1,1
"Gm13807",1,1,1
"Gm13939",1,1,1
"Gm14548",1,1,1
"Gm14827",1,1,1
"Gm16701",1,1,1
"Gm16894",1,1,1
"Gm19466",1,1,1
"Gm1995",1,1,1
"Gm20199",1,1,1
"Gm20556",1,1,1
"Gm20594",1,1,1
"Gm2694",1,1,1
"Gm4461",1,1,1
"Gm4566",1,1,1
"Gm4827",1,1,1
"Gm4861",1,1,1
"Gm5126",1,1,1
"Gm5127",1,1,1
"Gm5129",1,1,1
"Gm5176",1,1,1
"Gm5464",1,1,1
"Gm5468",1,1,1
"Gm5483",1,1,1
"Gm6034",1,1,1
"Gm6116",1,1,1
"Gm6289",1,1,1
"Gm7008",1,1,1
"Gm711",1,1,1
"Gm7444",1,1,1
"Gm805",1,1,1
"Gm8096",1,1,1
"Gm8221",1,1,1
"Gm8580",1,1,1
"Gm8787",1,1,1
"Gm9199",1,1,1
"Gm9268",1,1,1
"Gm9899",1,1,1
"Gpa33",1,1,1
"Gpbar1",1,1,1
"Gpr114",1,1,1
"Gpr158",1,1,1
"Gpr179",1,1,1
"Gpr27",1,1,1
"Gpr37",1,1,1
"Gpr50",1,1,1
"Gprin2",1,1,1
"Gpx2-ps1",1,1,1
"Grhl1",1,1,1
"Grhl3",1,1,1
"Gria2",1,1,1
"Grip2",1,1,1
"Grm4",1,1,1
"Grm8",1,1,1
"Grrp1",1,1,1
"Gtsf1l",1,1,1
"Gucy1b2",1,1,1
"H2-Bl",1,1,1
"H2-Ob",1,1,1
"H2-Q2",1,1,1
"Hcrtr1",1,1,1
"Hcrtr2",1,1,1
"Henmt1",1,1,1
"Hes2",1,1,1
"Hfm1",1,1,1
"Hhatl",1,1,1
"Hils1",1,1,1
"Hist1h2an",1,1,1
"Hist1h2bm",1,1,1
"Hist1h2bp",1,1,1
"Hist1h3a",1,1,1
"Hist2h4",1,1,1
"Hist3h2ba",1,1,1
"Hsf2bp",1,1,1
"Hspb9",1,1,1
"Htr3b",1,1,1
"Idi2",1,1,1
"Igdcc3",1,1,1
"Il17rb",1,1,1
"Il17re",1,1,1
"Il23r",1,1,1
"Il4i1",1,1,1
"Ildr1",1,1,1
"Insrr",1,1,1
"Iqch",1,1,1
"Irf4",1,1,1
"Itgae",1,1,1
"Itih4",1,1,1
"Itpka",1,1,1
"Ivl",1,1,1
"Jakmip3",1,1,1
"Kbtbd12",1,1,1
"Kcnk4",1,1,1
"Kcnk7",1,1,1
"Kirrel2",1,1,1
"Klb",1,1,1
"Klhl40",1,1,1
"Klk9",1,1,1
"Klrb1c",1,1,1
"Klrb1f",1,1,1
"Kremen2",1,1,1
"Krt13",1,1,1
"Krt5",1,1,1
"Krt79",1,1,1
"Krtap4-2",1,1,1
"Ksr2",1,1,1
"L3mbtl1",1,1,1
"Lat",1,1,1
"Lbx2",1,1,1
"Lce1a2",1,1,1
"Lce1b",1,1,1
"Lce1g",1,1,1
"Lce1i",1,1,1
"Lcn2",1,1,1
"Ldhal6b",1,1,1
"Lipk",1,1,1
"LOC547349",1,1,1
"Lpar5",1,1,1
"Lrrc36",1,1,1
"Lrrc66",1,1,1
"Lrrc69",1,1,1
"Magee2",1,1,1
"Magel2",1,1,1
"Mal",1,1,1
"Mall",1,1,1
"Mapk15",1,1,1
"Mapk8ip2",1,1,1
"March10",1,1,1
"March11",1,1,1
"March4",1,1,1
"Mcin",1,1,1
"Mettl7b",1,1,1
"Mfsd2b",1,1,1
"Mgl2",1,1,1
"Mia",1,1,1
"Mir103-2",1,1,1
"Mir1249",1,1,1
"Mir125a",1,1,1
"Mir16-1",1,1,1
"Mir1898",1,1,1
"Mir1929",1,1,1
"Mir1938",1,1,1
"Mir194-1",1,1,1
"Mir1964",1,1,1
"Mir19a",1,1,1
"Mir212",1,1,1
"Mir2861",1,1,1
"Mir296",1,1,1
"Mir3057",1,1,1
"Mir3068",1,1,1
"Mir3070a",1,1,1
"Mir3070b",1,1,1
"Mir3109",1,1,1
"Mir331",1,1,1
"Mir339",1,1,1
"Mir451",1,1,1
"Mir5098",1,1,1
"Mir568",1,1,1
"Mir668",1,1,1
"Mir677",1,1,1
"Mir692-1",1,1,1
"Mir7-1",1,1,1
"Mir711",1,1,1
"Mir763",1,1,1
"Mir877",1,1,1
"Mmel1",1,1,1
"Mmrn2",1,1,1
"Mrgprd",1,1,1
"Msc",1,1,1
"Mst1",1,1,1
"Msx1as",1,1,1
"Mtag2",1,1,1
"Muc13",1,1,1
"Myo18b",1,1,1
"Myo7b",1,1,1
"Myog",1,1,1
"Myot",1,1,1
"Myrfl",1,1,1
"Nanos3",1,1,1
"Necab2",1,1,1
"Nepn",1,1,1
"Neto1",1,1,1
"Nhlrc4",1,1,1
"Niacr1",1,1,1
"Nkpd1",1,1,1
"Nlrp10",1,1,1
"Nos1",1,1,1
"Nos2",1,1,1
"Notum",1,1,1
"Npbwr1",1,1,1
"Nphs1",1,1,1
"Nphs2",1,1,1
"Nr1h5",1,1,1
"Nrg3",1,1,1
"Nwd1",1,1,1
"Nxf3",1,1,1
"Nyx",1,1,1
"Oas1e",1,1,1
"Oasl1",1,1,1
"Obox3",1,1,1
"Olfr110",1,1,1
"Olfr1309",1,1,1
"Olfr1316",1,1,1
"Olfr1372-ps1",1,1,1
"Olfr212",1,1,1
"Olfr239",1,1,1
"Olfr31",1,1,1
"Olfr412",1,1,1
"Olfr55",1,1,1
"Olfr99",1,1,1
"Onecut3",1,1,1
"Orm1",1,1,1
"Orm2",1,1,1
"Otog",1,1,1
"P2rx2",1,1,1
"P2ry4",1,1,1
"Pabpc6",1,1,1
"Panx2",1,1,1
"Panx3",1,1,1
"Pate2",1,1,1
"Pax6",1,1,1
"Pcdha2",1,1,1
"Pcdha4",1,1,1
"Pcsk1",1,1,1
"Pde6g",1,1,1
"Pdzd3",1,1,1
"Pipox",1,1,1
"Piwil4",1,1,1
"Pla2g10",1,1,1
"Pla2g3",1,1,1
"Plekhd1",1,1,1
"Plekhs1",1,1,1
"Pls1",1,1,1
"Pnoc",1,1,1
"Poln",1,1,1
"Pou2f3",1,1,1
"Pou3f1",1,1,1
"Ppp1r27",1,1,1
"Ppp1r32",1,1,1
"Prlhr",1,1,1
"Prss22",1,1,1
"Prss44",1,1,1
"Prtn3",1,1,1
"Psapl1",1,1,1
"Psg28",1,1,1
"Ptchd2",1,1,1
"Ptk6",1,1,1
"Ptprn2",1,1,1
"Pxt1",1,1,1
"Rab25",1,1,1
"Rab9b",1,1,1
"Ranbp3l",1,1,1
"Rbmxl2",1,1,1
"Rdh16",1,1,1
"Rell2",1,1,1
"Rfx4",1,1,1
"Rfx8",1,1,1
"Rgn",1,1,1
"Rhox2d",1,1,1
"Rhox8",1,1,1
"Ribc2",1,1,1
"Rimklb",1,1,1
"Rlbp1",1,1,1
"Rmnd1",1,1,1
"Rnf39",1,1,1
"Robo3",1,1,1
"Rps6kl1",1,1,1
"Rubie",1,1,1
"Scarf1",1,1,1
"Scarna10",1,1,1
"Scarna17",1,1,1
"Scarna3a",1,1,1
"Scn8a",1,1,1
"Serpina1f",1,1,1
"Serpina3b",1,1,1
"Serpina3m",1,1,1
"Serpinf2",1,1,1
"Sez6l",1,1,1
"Sez6l2",1,1,1
"Sh2d1b2",1,1,1
"Sidt1",1,1,1
"Six3",1,1,1
"Skint3",1,1,1
"Skint4",1,1,1
"Skint7",1,1,1
"Skor1",1,1,1
"Sla2",1,1,1
"Slc10a2",1,1,1
"Slc12a3",1,1,1
"Slc24a4",1,1,1
"Slc25a2",1,1,1
"Slc25a31",1,1,1
"Slc35f2",1,1,1
"Slc44a5",1,1,1
"Slc6a13",1,1,1
"Slc6a3",1,1,1
"Slc9b1",1,1,1
"Slco1a4",1,1,1
"Slitrk1",1,1,1
"Smc1b",1,1,1
"Snap25",1,1,1
"Sncb",1,1,1
"Snord111",1,1,1
"Snord38a",1,1,1
"Snord55",1,1,1
"Snord67",1,1,1
"Snord68",1,1,1
"Sowahb",1,1,1
"Sox15",1,1,1
"Sp9",1,1,1
"Spaca5",1,1,1
"Spata32",1,1,1
"Spata4",1,1,1
"Spem1",1,1,1
"Spib",1,1,1
"Srpk3",1,1,1
"Sstr3",1,1,1
"St8sia5",1,1,1
"Stat4",1,1,1
"Stox1",1,1,1
"Svopl",1,1,1
"Syt10",1,1,1
"T2",1,1,1
"Tarm1",1,1,1
"Tbc1d30",1,1,1
"Tcap",1,1,1
"Tex12",1,1,1
"Tex13",1,1,1
"Tex40",1,1,1
"Tgm3",1,1,1
"Thrsp",1,1,1
"Timd4",1,1,1
"Timp4",1,1,1
"Tm4sf19",1,1,1
"Tm4sf5",1,1,1
"Tmem125",1,1,1
"Tmem150b",1,1,1
"Tmem28",1,1,1
"Tmem54",1,1,1
"Tmprss11bnl",1,1,1
"Tmprss9",1,1,1
"Tmsb15a",1,1,1
"Tnfsf10",1,1,1
"Tnfsf14",1,1,1
"Tox2",1,1,1
"Trcg1",1,1,1
"Trem3",1,1,1
"Trim38",1,1,1
"Trim43a",1,1,1
"Tshb",1,1,1
"Tssk1",1,1,1
"Ttc21a",1,1,1
"Ttc34",1,1,1
"Ttc36",1,1,1
"Txk",1,1,1
"Ube2d2b",1,1,1
"Unc93a",1,1,1
"Upk3bl",1,1,1
"Usp17lc",1,1,1
"Usp17ld",1,1,1
"Vip",1,1,1
"Vmn1r45",1,1,1
"Vmn2r15",1,1,1
"Vmn2r57",1,1,1
"Vmn2r62",1,1,1
"Vmn2r63",1,1,1
"Vmo1",1,1,1
"Vwa3a",1,1,1
"Vwa7",1,1,1
"Vwde",1,1,1
"Wdr16",1,1,1
"Wdr65",1,1,1
"Ybx2",1,1,1
"Zfp819",1,1,1
"Zmynd12",1,1,1
"Zp3r",1,1,1
"Zscan5b",1,1,1
"0610010B08Rik",2,2,2
"0610038L08Rik",2,1,2
"1300002K09Rik",2,2,2
"1500017E21Rik",2,2,2
"1600010M07Rik",2,2,2
"1700001P01Rik",2,2,2
"1700007G11Rik",2,2,2
"1700011A15Rik",2,2,2
"1700016K19Rik",2,2,2
"1700025N23Rik",2,1,2
"1700028E10Rik",2,2,2
"1700042O10Rik",2,2,2
"1700048M11Rik",2,2,2
"1700061I17Rik",2,1,2
"1700088E04Rik",2,2,2
"1700105P06Rik",2,1,2
"1700120K04Rik",2,2,2
"1810012K16Rik",2,1,2
"1810065E05Rik",2,1,2
"2310069B03Rik",2,2,2
"2610017I09Rik",2,2,2
"2700070H01Rik",2,1,2
"2810429I04Rik",2,2,2
"2810471M01Rik",2,1,2
"2900057B20Rik",2,2,2
"4930412O13Rik",2,2,2
"4930413F20Rik",2,2,2
"4930429F24Rik",2,1,2
