"","V1","V2","V3"
"0610038L08Rik",1,1,1
"1110032F04Rik",1,1,1
"1190003J15Rik",1,1,1
"1500002O10Rik",1,1,1
"1600029I14Rik",1,1,1
"1700001G11Rik",1,1,1
"1700003M02Rik",1,1,1
"1700007B14Rik",1,1,1
"1700007G11Rik",1,1,1
"1700008O03Rik",1,1,1
"1700012B07Rik",1,1,1
"1700013G23Rik",1,1,1
"1700016H13Rik",1,1,1
"1700017G19Rik",1,1,1
"1700018L02Rik",1,1,1
"1700019A02Rik",1,1,1
"1700022P22Rik",1,1,1
"1700026D08Rik",1,1,1
"1700028E10Rik",1,1,1
"1700028I16Rik",1,1,1
"1700034F02Rik",1,1,1
"1700040L02Rik",1,1,1
"1700045I19Rik",1,1,1
"1700058G18Rik",1,1,1
"1700061I17Rik",1,1,1
"1700066B19Rik",1,1,1
"1700093K21Rik",1,1,1
"1700095A21Rik",1,1,1
"1700101E01Rik",1,1,1
"1700102H20Rik",1,1,1
"1700105P06Rik",1,1,1
"1700110C19Rik",1,1,1
"1700112H15Rik",1,1,1
"1700119H24Rik",1,1,1
"1810013A23Rik",1,1,1
"1810064F22Rik",1,1,1
"1810065E05Rik",1,1,1
"2010016I18Rik",1,1,1
"2300002M23Rik",1,1,1
"2300005B03Rik",1,1,1
"2310002F09Rik",1,1,1
"2310014F07Rik",1,1,1
"2310039L15Rik",1,1,1
"2410003L11Rik",1,1,1
"2600006L11Rik",1,1,1
"2610027K06Rik",1,1,1
"2610035F20Rik",1,1,1
"2810404M03Rik",1,1,1
"2810405F15Rik",1,1,1
"2810459M11Rik",1,1,1
"2900009J06Rik",1,1,1
"2900057B20Rik",1,1,1
"3110035E14Rik",1,1,1
"3425401B19Rik",1,1,1
"3632454L22Rik",1,1,1
"4430402I18Rik",1,1,1
"4732416N19Rik",1,1,1
"4921508D12Rik",1,1,1
"4921509O07Rik",1,1,1
"4930415F15Rik",1,1,1
"4930429F24Rik",1,1,1
"4930433B08Rik",1,1,1
"4930433I11Rik",1,1,1
"4930443O20Rik",1,1,1
"4930448H16Rik",1,1,1
"4930451C15Rik",1,1,1
"4930465K10Rik",1,1,1
"4930503E24Rik",1,1,1
"4930509E16Rik",1,1,1
"4930519F16Rik",1,1,1
"4930519H02Rik",1,1,1
"4930521E06Rik",1,1,1
"4930525D18Rik",1,1,1
"4930546K05Rik",1,1,1
"4930555G01Rik",1,1,1
"4930562C15Rik",1,1,1
"4930583P06Rik",1,1,1
"4930599N23Rik",1,1,1
"4931417G12Rik",1,1,1
"4931429L15Rik",1,1,1
"4931440L10Rik",1,1,1
"4933401D09Rik",1,1,1
"4933402E13Rik",1,1,1
"4933407L21Rik",1,1,1
"4933411E08Rik",1,1,1
"4933411K16Rik",1,1,1
"4933415F23Rik",1,1,1
"4933417G07Rik",1,1,1
"4933417O13Rik",1,1,1
"4933427D06Rik",1,1,1
"4933427E11Rik",1,1,1
"5330417C22Rik",1,1,1
"5430403N17Rik",1,1,1
"5430421N21Rik",1,1,1
"5430437J10Rik",1,1,1
"5430440P10Rik",1,1,1
"5730435O14Rik",1,1,1
"6430584L05Rik",1,1,1
"6820408C15Rik",1,1,1
"8430403D17Rik",1,1,1
"8430431K14Rik",1,1,1
"8430436N08Rik",1,1,1
"9030612E09Rik",1,1,1
"9130015A21Rik",1,1,1
"9230102O04Rik",1,1,1
"9230112J17Rik",1,1,1
"9330175M20Rik",1,1,1
"9430060I03Rik",1,1,1
"9430069I07Rik",1,1,1
"9530026F06Rik",1,1,1
"9530052E02Rik",1,1,1
"9630013A20Rik",1,1,1
"9630028B13Rik",1,1,1
"A130077B15Rik",1,1,1
"A230057D06Rik",1,1,1
"A230073K19Rik",1,1,1
"A330040F15Rik",1,1,1
"A430092G05Rik",1,1,1
"A630020A06",1,1,1
"A630075F10Rik",1,1,1
"A630076J17Rik",1,1,1
"A730017C20Rik",1,1,1
"A730046J19Rik",1,1,1
"A830018L16Rik",1,1,1
"A930003O13Rik",1,1,1
"A930009A15Rik",1,1,1
"A930017M01Rik",1,1,1
"A930041C12Rik",1,1,1
"AB099516",1,1,1
"Abca13",1,1,1
"Abcc12",1,1,1
"Abcc6",1,1,1
"Abcc8",1,1,1
"Acap1",1,1,1
"Ace2",1,1,1
"Acsbg2",1,1,1
"Adad1",1,1,1
"Adam18",1,1,1
"Adamdec1",1,1,1
"Adra1a",1,1,1
"Agmo",1,1,1
"AI182371",1,1,1
"AI314831",1,1,1
"AI847159",1,1,1
"Aim1l",1,1,1
"Ak7",1,1,1
"Ak8",1,1,1
"Aknad1",1,1,1
"Akr1c20",1,1,1
"Aldh8a1",1,1,1
"Alpk2",1,1,1
"Ambp",1,1,1
"Ampd1",1,1,1
"Ankrd2",1,1,1
"Ankrd53",1,1,1
"Ankrd7",1,1,1
"Ano4",1,1,1
"Apol10a",1,1,1
"Apol11a",1,1,1
"Apol11b",1,1,1
"Apol7d",1,1,1
"Arhgef33",1,1,1
"Arl9",1,1,1
"Asb14",1,1,1
"Asb9",1,1,1
"Ascl1",1,1,1
"Ascl2",1,1,1
"Asic2",1,1,1
"Asz1",1,1,1
"Atg9b",1,1,1
"Atp6v1b1",1,1,1
"Atp8a2",1,1,1
"Atp8b3",1,1,1
"AU018091",1,1,1
"AU022754",1,1,1
"AU023762",1,1,1
"Aurkc",1,1,1
"AV051173",1,1,1
"Avpr2",1,1,1
"B020004C17Rik",1,1,1
"B130024G19Rik",1,1,1
"B230209K01Rik",1,1,1
"B230378P21Rik",1,1,1
"B3gat1",1,1,1
"B4galnt3",1,1,1
"B830017H08Rik",1,1,1
"B930092H01Rik",1,1,1
"Bai3",1,1,1
"Baiap3",1,1,1
"Bbox1",1,1,1
"BC006965",1,1,1
"BC021767",1,1,1
"BC049762",1,1,1
"BC125332",1,1,1
"Bcas1",1,1,1
"Bhlhe23",1,1,1
"Birc7",1,1,1
"Bpifb4",1,1,1
"Btnl9",1,1,1
"C030030A07Rik",1,1,1
"C130060K24Rik",1,1,1
"C130071C03Rik",1,1,1
"C130080G10Rik",1,1,1
"C230035I16Rik",1,1,1
"C4bp",1,1,1
"C6",1,1,1
"C630020P19Rik",1,1,1
"C730002L08Rik",1,1,1
"Cacna2d2",1,1,1
"Calb1",1,1,1
"Calcr",1,1,1
"Camkv",1,1,1
"Capn11",1,1,1
"Capn3",1,1,1
"Capn9",1,1,1
"Car7",1,1,1
"Card11",1,1,1
"Cartpt",1,1,1
"Catsperg2",1,1,1
"Cbfa2t3",1,1,1
"Cblc",1,1,1
"Ccbp2",1,1,1
"Ccdc11",1,1,1
"Ccdc110",1,1,1
"Ccdc13",1,1,1
"Ccdc146",1,1,1
"Ccdc154",1,1,1
"Ccdc158",1,1,1
"Ccdc177",1,1,1
"Ccdc27",1,1,1
"Ccdc64b",1,1,1
"Ccdc67",1,1,1
"Ccm2l",1,1,1
"Ccna1",1,1,1
"Ccnb3",1,1,1
